review_id,listing_id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,district,city,latitude,longitude,property_type,room_type,accommodates,bedrooms,amenities,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
330265172,11798,"Beautiful Flat in le Village Montmartre, Paris",1466919,03-12-2011,"Paris, Ile-de-France, France",,,,f,1,t,f,Buttes-Montmartre,,Paris,48.88668,2.33343,Entire apartment,Entire place,2,1,"[""Heating"", ""Kitchen"", ""Washer"", ""Wifi"", ""Long term stays allowed""]",53,2,1125,100,10,10,10,10,10,10,f
330103585,15383,39 mÂ² Paris (Sacre CÅ“ur),10328771,29-11-2013,"Paris, Ile-de-France, France",,,,f,1,t,t,Buttes-Montmartre,,Paris,48.88617,2.34515,Entire apartment,Entire place,2,1,"[""Shampoo"", ""Heating"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Wifi"", ""Long term stays allowed""]",120,2,1125,100,10,10,10,10,10,10,f
329985788,16455,"Lovely apartment with Terrace, 60m2",19252768,31-07-2014,"Paris, Ile-de-France, France",,,,f,1,t,f,Elysee,,Paris,48.88112,2.31712,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Kitchen"", ""Washer"", ""Wifi"", ""Long term stays allowed""]",89,2,1125,100,10,10,10,10,10,10,f
330016899,17919,Cosy studio (close to Eiffel tower),10668311,17-12-2013,"Paris, Ile-de-France, France",,,,f,1,t,t,Vaugirard,,Paris,48.84571,2.30584,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Kitchen"", ""Wifi"", ""Long term stays allowed""]",58,2,1125,100,10,10,10,10,10,10,f
329995638,26827,Close to Eiffel Tower - Beautiful flat : 2 rooms,24837558,14-12-2014,"Paris, Ile-de-France, France",,,,f,1,t,f,Passy,,Paris,48.855,2.26979,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Bathtub"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Cable TV""]",60,2,1125,100,10,10,10,10,10,10,f
330089224,74561,NEW - Charming apartment Le Marais,505535,13-04-2011,"Paris, Ile-de-France, France",,,,f,1,t,t,Temple,,Paris,48.86428,2.3537,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]",95,2,1125,100,10,10,10,10,10,10,f
330194958,140355,2P - Entre Bastille et Republique,8053690,09-08-2013,"Paris, Ile-de-France, France",,,,f,1,t,t,Popincourt,,Paris,48.86384,2.37101,Entire apartment,Entire place,2,1,"[""Shampoo"", ""TV"", ""Kitchen"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Fire extinguisher"", ""Long term stays allowed""]",80,2,1125,100,10,10,10,10,10,10,f
329980859,162163,57sqm btw. Bastille & PÃ¨re Lachaise,5924709,14-04-2013,"Paris, Ile-de-France, France",,,,f,1,t,t,Popincourt,,Paris,48.86043,2.37842,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]",59,2,1125,100,10,10,10,10,10,10,f
329950677,167998,Charming appartment near the Parc Buttes Chaumont,35812762,14-06-2015,"Paris, Ile-de-France, France",,,,f,1,t,t,Buttes-Chaumont,,Paris,48.87871,2.37489,Entire apartment,Entire place,2,1,"[""Paid parking off premises"", ""Shampoo"", ""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""Host greets you"", ""Cable TV""]",80,2,1125,100,10,10,10,10,10,10,f
330213008,178188,Bel appartement plein de charme !,20833291,02-09-2014,"Paris, Ile-de-France, France",,,,f,1,t,t,Opera,,Paris,48.8779,2.33122,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace"", ""Cable TV""]",90,2,1125,100,10,10,10,10,10,10,f
330140226,232956,Beau 2piÃ¨ces prÃ¨s Butte aux cailles,35014275,04-06-2015,"Paris, Ile-de-France, France",,,,f,1,t,t,Gobelins,,Paris,48.82296,2.34667,Entire apartment,Entire place,2,1,"[""Heating"", ""Kitchen"", ""Essentials"", ""Washer"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]",60,2,1125,100,10,10,10,10,10,10,f
330038354,266725,Cosy appartement in marais 40m2,19939276,13-08-2014,"Paris, Ile-de-France, France",,,,f,1,t,t,Hotel-de-Ville,,Paris,48.85681,2.35678,Entire apartment,Entire place,2,1,"[""Shampoo"", ""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]",80,2,1125,100,10,10,10,10,10,10,f
330299075,314288,Cosy Flat near Rue Mouffetard,18264466,17-07-2014,"Paris, Ile-de-France, France",,,,f,1,t,f,Pantheon,,Paris,48.83855,2.35064,Entire apartment,Entire place,2,1,"[""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",61,2,1125,100,10,10,10,10,10,10,f
330081449,325880,Grand 2 piÃ¨ces de 60 m2 cosy au canal Saint Martin,10121410,19-11-2013,"Paris, Ile-de-France, France",,,,f,1,t,t,Enclos-St-Laurent,,Paris,48.87437,2.36208,Entire apartment,Entire place,2,1,"[""Dishwasher"", ""Essentials"", ""Stove"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""TV"", ""Iron"", ""Dryer"", ""Refrigerator"", ""Oven"", ""Dishes and silverware"", ""Heating"", ""Kitchen"", ""Coffee maker"", ""Washer"", ""Cooking basics"", ""Paid parking off premises"", ""Garden or backyard"", ""Bed linens"", ""Carbon monoxide alarm"", ""Cleaning before checkout"", ""Elevator""]",145,2,1125,100,10,10,10,10,10,10,f
329968377,335003,"Studio pour deux, place de clichy",52785202,30-12-2015,"Paris, Ile-de-France, France",,,,f,1,t,t,Elysee,,Paris,48.88074,2.32384,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Hangers"", ""Wifi"", ""Elevator"", ""Long term stays allowed""]",35,2,1125,100,10,10,10,10,10,10,f
330131287,348747,Luminous & very cosy flat in Paris,34678556,31-05-2015,"Paris, Ile-de-France, France",,,,f,1,t,f,Popincourt,,Paris,48.87064,2.37499,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",39,2,1125,100,10,10,10,10,10,10,f
330201364,352851,2 piÃ¨ces baignees de soleil !,28504056,28-02-2015,"Paris, Ile-de-France, France",,,,f,1,t,t,Batignolles-Monceau,,Paris,48.88423,2.31339,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]",55,2,1125,100,10,10,10,10,10,10,f
330246144,378714,Appartement au coeur de Bastille,63894099,21-03-2016,"Paris, Ile-de-France, France",,,,f,1,t,f,Popincourt,,Paris,48.85434,2.37293,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",55,2,1125,100,10,10,10,10,10,10,f
330283854,406852,2 rooms Canal St Martin/ Republique,6056099,23-04-2013,"Paris, Ile-de-France, France",,,,f,1,t,t,Enclos-St-Laurent,,Paris,48.8734,2.36972,Entire apartment,Entire place,2,1,"[""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace""]",57,2,1125,100,10,10,10,10,10,10,f
330095252,406891,Calm 1 Bedroom,23193463,31-10-2014,"Paris, Ile-de-France, France",,,,f,1,t,t,Gobelins,,Paris,48.83767,2.35554,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]",55,2,1125,100,10,10,10,10,10,10,f
330062803,411911,Two rooms flat near Champs Elysees,16159360,30-05-2014,"Paris, Ile-de-France, France",,,,f,1,t,f,Batignolles-Monceau,,Paris,48.88389,2.29211,Entire apartment,Entire place,2,1,"[""Heating"", ""Iron"", ""Indoor fireplace"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",51,2,1125,100,10,10,10,10,10,10,f
329972422,432800,40m2 lovely parisien flat - southpi,4177948,18-11-2012,"Paris, Ile-de-France, France",,,,f,1,t,t,Opera,,Paris,48.87842,2.33371,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",80,2,1125,100,10,10,10,10,10,10,f
330161370,437586,Duplex flat in central Paris overlooking a garden,20256520,19-08-2014,"Paris, Ile-de-France, France",,,,f,1,t,t,Opera,,Paris,48.87833,2.33197,Entire apartment,Entire place,2,1,"[""TV"", ""Hair dryer"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Kitchen"", ""Cable TV"", ""Dedicated workspace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Elevator"", ""Essentials"", ""Washer"", ""Wifi""]",70,2,1125,100,10,10,10,10,10,10,f
330155419,455974,Grand 2 piÃ¨ces Montparnasse proche St-Germain,4674253,12-01-2013,"Paris, Ile-de-France, France",,,,f,1,t,t,Luxembourg,,Paris,48.84477,2.32525,Entire apartment,Entire place,2,1,"[""Washer"", ""Elevator"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed"", ""TV""]",90,2,1125,100,10,10,10,10,10,10,f
330235640,461860,Typical Parisian flat with balcony - rooftop view,11058384,06-01-2014,"Paris, Ile-de-France, France",,,,f,1,t,t,Temple,,Paris,48.86875,2.35471,Entire apartment,Entire place,2,1,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Cable TV"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV"", ""Breakfast""]",89,2,1125,100,10,10,10,10,10,10,f
330085312,474684,Comfortable studio flat near Place de la Nation,10093004,18-11-2013,"Paris, Ile-de-France, France",,,,f,1,t,f,Reuilly,,Paris,48.84614,2.40083,Entire apartment,Entire place,2,1,"[""Shampoo"", ""Heating"", ""Washer"", ""Dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Elevator"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]",42,2,1125,100,10,10,10,10,10,10,f
329972521,502895,Cosy Appartment in the Batignolles area,9581424,22-10-2013,"Paris, Ile-de-France, France",,,,f,1,t,f,Batignolles-Monceau,,Paris,48.88501,2.31808,Entire apartment,Entire place,2,1,"[""Shampoo"", ""Heating"", ""Washer"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]",35,2,1125,100,10,10,10,10,10,10,f
330309756,534650,Charming Flat in Downtown Paris,6848400,11-06-2013,"Paris, Ile-de-France, France",,,,f,1,t,f,Enclos-St-Laurent,,Paris,48.87511,2.35627,Entire apartment,Entire place,2,1,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV"", ""Carbon monoxide alarm""]",60,2,1125,100,10,10,10,10,10,10,f
330163176,539722,Charmant 2 piÃ¨ces proche montmartre,4928414,01-02-2013,"Paris, Ile-de-France, France",,,,f,1,t,f,Buttes-Montmartre,,Paris,48.8956,2.33987,Entire apartment,Entire place,2,1,"[""Iron"", ""Heating"", ""Washer"", ""Elevator"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed"", ""Hangers""]",50,2,1125,100,10,10,10,10,10,10,f
330034351,554569,Cosy flat at the foot of Sacre Coeur in Montmartre,17608843,03-07-2014,"Paris, Ile-de-France, France",,,,f,1,t,t,Buttes-Montmartre,,Paris,48.88575,2.34633,Entire apartment,Entire place,2,1,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Dedicated workspace"", ""Kitchen"", ""Breakfast"", ""First aid kit"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm""]",70,2,1125,100,10,10,10,10,10,10,f
330252383,557246,Appart 2 piÃ¨ces - Grenelle/Effeil Tower,38580483,15-07-2015,"Paris, Ile-de-France, France",,,,f,1,t,t,Vaugirard,,Paris,48.85022,2.29148,Entire apartment,Entire place,2,1,"[""Iron"", ""Shampoo"", ""Heating"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed"", ""TV"", ""Breakfast""]",50,2,1125,100,10,10,10,10,10,10,f
